PATH;VARIABLE_NAME;RELAY_NAME;CB_PATH;TYPE_BT;TYPE_MPU;BOOLEAN;INIT_VALUE;ID_REF;X_POS_I;X_CENTER;X_POS_F;Y_POS_I;Y_CENTER;Y_POS_F
LOCATION, INTERFACE;Li_IVe2CVtPvTfpR1;C_VT_PV_TFP;cde_tfp/VC2/;BOOL;BOOL;1;TRUE;Var128;120;160;200;5200;5220;5240
LOCATION, INTERFACE;Li_IVe2CVtPvTfpR2;C_VT_PV_TFP;cde_tfp/VC2/;BOOL;BOOL;1;TRUE;Var129;360;400;440;5200;5220;5240
LOCATION, INTERFACE;Li_IVe2DjSiDfTfpR1;DJ_SI_DF_TFP;sec_tfp/VE1/;BOOL;BOOL;1;TRUE;Var130;120;160;200;5280;5300;5320
LOCATION, INTERFACE;Li_IVe2DjSiDfTfpR2;DJ_SI_DF_TFP;sec_tfp/VE1/;BOOL;BOOL;1;TRUE;Var131;360;400;440;5280;5300;5320
LOCATION, INTERFACE;Li_IVe2HvsQ1MtDjR1;Q1_MT_DJ;cde_gen_dj_qt/VE1/;BOOL;BOOL;1;TRUE;Var132;120;160;200;5360;5380;5400
LOCATION, INTERFACE;Li_IVe2HvsQ1MtDjR2;Q1_MT_DJ;cde_gen_dj_qt/VE1/;BOOL;BOOL;1;TRUE;Var133;360;400;440;5360;5380;5400
LOCATION, INTERFACE;Li_IVe2HvsQ2MtDjR1;Q2_MT_DJ;cde_gen_dj_qt/VE1/;BOOL;BOOL;1;TRUE;Var134;120;160;200;5440;5460;5480
LOCATION, INTERFACE;Li_IVe2HvsQ2MtDjR2;Q2_MT_DJ;cde_gen_dj_qt/VE1/;BOOL;BOOL;1;TRUE;Var135;360;400;440;5440;5460;5480
LOCATION, INTERFACE;Li_IVe2HvsQ3MtDjR1;Q3_MT_DJ;cde_gen_dj_qt/VE1/;BOOL;BOOL;1;TRUE;Var136;120;160;200;5520;5540;5560
LOCATION, INTERFACE;Li_IVe2HvsQ3MtDjR2;Q3_MT_DJ;cde_gen_dj_qt/VE1/;BOOL;BOOL;1;TRUE;Var137;360;400;440;5520;5540;5560
LOCATION, INTERFACE;Li_IVe2HvsQ4MtDjR1;Q4_MT_DJ;cde_gen_dj_qt/VE1/;BOOL;BOOL;1;TRUE;Var138;120;160;200;5600;5620;5640
LOCATION, INTERFACE;Li_IVe2HvsQ4MtDjR2;Q4_MT_DJ;cde_gen_dj_qt/VE1/;BOOL;BOOL;1;TRUE;Var139;360;400;440;5600;5620;5640
LOCATION, INTERFACE;Li_IVe2Q1MtR1;Q1_MT;cde_gen_dj_qt_bimode/VE1/;BOOL;BOOL;1;TRUE;Var140;120;160;200;5680;5700;5720
LOCATION, INTERFACE;Li_IVe2Q1MtR2;Q1_MT;cde_gen_dj_qt_bimode/VE1/;BOOL;BOOL;1;TRUE;Var141;360;400;440;5680;5700;5720
LOCATION, INTERFACE;Li_IVe2QDetQtR1;Q_DET_QT;cde_gen_dj_qt/VE1/;BOOL;BOOL;1;TRUE;Var142;120;160;200;5760;5780;5800
LOCATION, INTERFACE;Li_IVe2QDetQtR2;Q_DET_QT;cde_gen_dj_qt/VE1/;BOOL;BOOL;1;TRUE;Var143;360;400;440;5760;5780;5800
LOCATION, INTERFACE;Li_IVe2QDfCiTfpR1;Q_DF_CI_TFP;sec_tfp/VE1/;BOOL;BOOL;1;TRUE;Var144;120;160;200;5840;5860;5880
